# BUSCO version is: 5.6.1 
# The lineage dataset is: brassicales_odb10 (Creation date: 2024-01-08, number of genomes: 10, number of BUSCOs: 4596)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
1at3699	Complete	ptg000014l_path	37739178	37756381	+	8650.0	4306	https://v10-1.orthodb.org/?query=1at3699	Zinc finger, ZZ-type
2at3699	Complete	ptg000019l_path	1340156	1356991	+	8499.5	4194	https://v10-1.orthodb.org/?query=2at3699	Zinc finger, RING/FYVE/PHD-type
14at3699	Complete	ptg000019l_path	1574237	1557113	-	4553.9	2753	https://v10-1.orthodb.org/?query=14at3699	Vacuolar protein sorting-associated protein 13, N-terminal domain
15at3699	Complete	ptg000015l_path	11096486	11070623	-	4554.1	2528	https://v10-1.orthodb.org/?query=15at3699	Phosphatidylinositol 3-/4-kinase, catalytic domain
18at3699	Duplicated	ptg000012l_path	63823	77894	+	4609.3	2498	https://v10-1.orthodb.org/?query=18at3699	Spatacsin, C-terminal domain
18at3699	Duplicated	ptg000003l_path	196508	210577	+	4607.1	2498	https://v10-1.orthodb.org/?query=18at3699	Spatacsin, C-terminal domain
18at3699	Duplicated	ptg000004l_path	202299	214854	+	4152.0	2261	https://v10-1.orthodb.org/?query=18at3699	Spatacsin, C-terminal domain
19at3699	Complete	ptg000015l_path	10380487	10394835	+	4563.3	2655	https://v10-1.orthodb.org/?query=19at3699	Vacuolar protein sorting-associated protein 13, C-terminal
20at3699	Duplicated	ptg000032l_path	687675	699956	+	4529.7	2268	https://v10-1.orthodb.org/?query=20at3699	BEACH domain
20at3699	Duplicated	ptg000016l_path	26529116	26541421	+	4512.4	2268	https://v10-1.orthodb.org/?query=20at3699	BEACH domain
20at3699	Duplicated	ptg000034l_path	13001874	13014155	+	4528.8	2267	https://v10-1.orthodb.org/?query=20at3699	BEACH domain
30at3699	Duplicated	ptg000016l_path	30242950	30232784	-	4670.9	2224	https://v10-1.orthodb.org/?query=30at3699	DnaJ domain
30at3699	Duplicated	ptg000034l_path	16636052	16625870	-	4663.4	2224	https://v10-1.orthodb.org/?query=30at3699	DnaJ domain
30at3699	Duplicated	ptg000032l_path	4340679	4330498	-	4658.3	2224	https://v10-1.orthodb.org/?query=30at3699	DnaJ domain
31at3699	Duplicated	ptg000008l_path	956638	941516	-	4216.3	2157	https://v10-1.orthodb.org/?query=31at3699	Zinc finger FYVE domain protein
31at3699	Duplicated	ptg000022l_path	1019500	1004397	-	4182.9	2157	https://v10-1.orthodb.org/?query=31at3699	Zinc finger FYVE domain protein
33at3699	Duplicated	ptg000009l_path	27334935	27350098	+	4050.9	2206	https://v10-1.orthodb.org/?query=33at3699	Protein ILITYHIA
33at3699	Duplicated	ptg000007l_path	23481331	23496570	+	4006.1	2206	https://v10-1.orthodb.org/?query=33at3699	Protein ILITYHIA
34at3699	Complete	ptg000014l_path	34101233	34089664	-	3632.2	2324	https://v10-1.orthodb.org/?query=34at3699	Kinesin motor domain
37at3699	Duplicated	ptg000008l_path	246492	235224	-	4228.3	2255	https://v10-1.orthodb.org/?query=37at3699	FMP27,  C-terminal
37at3699	Duplicated	ptg000022l_path	314943	303752	-	4215.6	2255	https://v10-1.orthodb.org/?query=37at3699	FMP27,  C-terminal
38at3699	Duplicated	ptg000008l_path	1249224	1258747	+	4005.6	2184	https://v10-1.orthodb.org/?query=38at3699	WD40 repeat
38at3699	Duplicated	ptg000022l_path	1351695	1361224	+	3993.2	2184	https://v10-1.orthodb.org/?query=38at3699	WD40 repeat
42at3699	Duplicated	ptg000016l_path	25898503	25889473	-	4201.3	1968	https://v10-1.orthodb.org/?query=42at3699	Glutamate synthase, alpha subunit, C-terminal
42at3699	Duplicated	ptg000032l_path	44441	35411	-	4196.6	1968	https://v10-1.orthodb.org/?query=42at3699	Glutamate synthase, alpha subunit, C-terminal
