# BUSCO version is: 5.6.1 
# The lineage dataset is: brassicales_odb10 (Creation date: 2024-01-08, number of genomes: 10, number of BUSCOs: 4596)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
1at3699	Complete	group3	72442344	72361552	-	8658.4	4306	https://v10-1.orthodb.org/?query=1at3699	Zinc finger, ZZ-type
2at3699	Duplicated	utg001127l	453804	470626	+	8521.5	4197	https://v10-1.orthodb.org/?query=2at3699	Zinc finger, RING/FYVE/PHD-type
2at3699	Duplicated	utg000456l	102313	85478	-	8520.9	4197	https://v10-1.orthodb.org/?query=2at3699	Zinc finger, RING/FYVE/PHD-type
14at3699	Duplicated	utg000082l	42905	60032	+	4617.3	2751	https://v10-1.orthodb.org/?query=14at3699	Vacuolar protein sorting-associated protein 13, N-terminal domain
14at3699	Duplicated	utg000326l	129834	112707	-	4616.5	2751	https://v10-1.orthodb.org/?query=14at3699	Vacuolar protein sorting-associated protein 13, N-terminal domain
15at3699	Duplicated	group2	113802479	113828359	+	4556.4	2564	https://v10-1.orthodb.org/?query=15at3699	Phosphatidylinositol 3-/4-kinase, catalytic domain
15at3699	Duplicated	group2	113907816	113933647	+	4576.6	2527	https://v10-1.orthodb.org/?query=15at3699	Phosphatidylinositol 3-/4-kinase, catalytic domain
18at3699	Complete	group3	66097762	66111832	+	4607.8	2498	https://v10-1.orthodb.org/?query=18at3699	Spatacsin, C-terminal domain
19at3699	Complete	group2	115234079	115164585	-	4469.3	2625	https://v10-1.orthodb.org/?query=19at3699	Vacuolar protein sorting-associated protein 13, C-terminal
20at3699	Complete	group3	95616691	95604384	-	4545.2	2267	https://v10-1.orthodb.org/?query=20at3699	BEACH domain
30at3699	Complete	group3	86116579	86126760	+	4660.3	2224	https://v10-1.orthodb.org/?query=30at3699	DnaJ domain
31at3699	Complete	group6	10392786	10408696	+	4110.7	2124	https://v10-1.orthodb.org/?query=31at3699	Zinc finger FYVE domain protein
33at3699	Duplicated	group3	28637527	28652739	+	4185.1	2245	https://v10-1.orthodb.org/?query=33at3699	Protein ILITYHIA
33at3699	Duplicated	group3	28865677	28850453	-	4138.5	2245	https://v10-1.orthodb.org/?query=33at3699	Protein ILITYHIA
34at3699	Complete	group2	3421100	3561460	+	3498.4	2321	https://v10-1.orthodb.org/?query=34at3699	Kinesin motor domain
37at3699	Complete	group6	11818475	11829633	+	4190.3	2255	https://v10-1.orthodb.org/?query=37at3699	FMP27,  C-terminal
38at3699	Duplicated	group6	9349192	9339649	-	3976.2	2187	https://v10-1.orthodb.org/?query=38at3699	WD40 repeat
38at3699	Duplicated	group6	9483031	9492594	+	3994.9	2184	https://v10-1.orthodb.org/?query=38at3699	WD40 repeat
38at3699	Duplicated	group6	9592095	9500623	-	3994.9	2184	https://v10-1.orthodb.org/?query=38at3699	WD40 repeat
42at3699	Complete	group3	98334784	98403604	+	4199.9	1968	https://v10-1.orthodb.org/?query=42at3699	Glutamate synthase, alpha subunit, C-terminal
43at3699	Duplicated	group2	134862525	134854062	-	3751.8	2060	https://v10-1.orthodb.org/?query=43at3699	Sec39 domain
43at3699	Duplicated	group2	134756680	134764586	+	3533.8	1959	https://v10-1.orthodb.org/?query=43at3699	Sec39 domain
45at3699	Complete	group2	136316749	136328054	+	3604.5	1788	https://v10-1.orthodb.org/?query=45at3699	DExH-box ATP-dependent RNA helicase DExH14
49at3699	Duplicated	group6	10422189	10432051	+	3380.4	1749	https://v10-1.orthodb.org/?query=49at3699	Embryo defective 2410
