# BUSCO version is: 5.6.1 
# The lineage dataset is: brassicales_odb10 (Creation date: 2024-01-08, number of genomes: 10, number of BUSCOs: 4596)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
1at3699	Complete	Cexcelsa_scaf_4	36508488	36525709	+	8658.4	4306	https://v10-1.orthodb.org/?query=1at3699	Zinc finger, ZZ-type
2at3699	Complete	Cexcelsa_scaf_1	1220974	1237811	+	8523.8	4197	https://v10-1.orthodb.org/?query=2at3699	Zinc finger, RING/FYVE/PHD-type
14at3699	Complete	Cexcelsa_scaf_1	1470266	1453139	-	4614.8	2781	https://v10-1.orthodb.org/?query=14at3699	Vacuolar protein sorting-associated protein 13, N-terminal domain
15at3699	Complete	Cexcelsa_scaf_4	11222872	11196966	-	4564.4	2564	https://v10-1.orthodb.org/?query=15at3699	Phosphatidylinositol 3-/4-kinase, catalytic domain
18at3699	Complete	Cexcelsa_scaf_5	239865	253934	+	4609.6	2510	https://v10-1.orthodb.org/?query=18at3699	Spatacsin, C-terminal domain
19at3699	Complete	Cexcelsa_scaf_4	10585875	10600997	+	4560.6	2625	https://v10-1.orthodb.org/?query=19at3699	Vacuolar protein sorting-associated protein 13, C-terminal
20at3699	Complete	Cexcelsa_scaf_2	7085312	7073031	-	4516.5	2268	https://v10-1.orthodb.org/?query=20at3699	BEACH domain
30at3699	Complete	Cexcelsa_scaf_2	3561457	3571638	+	4663.6	2225	https://v10-1.orthodb.org/?query=30at3699	DnaJ domain
31at3699	Complete	Cexcelsa_scaf_3	42424245	42439374	+	4105.5	2124	https://v10-1.orthodb.org/?query=31at3699	Zinc finger FYVE domain protein
33at3699	Complete	Cexcelsa_scaf_2	32140589	32155769	+	4200.4	2245	https://v10-1.orthodb.org/?query=33at3699	Protein ILITYHIA
34at3699	Complete	Cexcelsa_scaf_4	32792796	32779883	-	3501.4	2322	https://v10-1.orthodb.org/?query=34at3699	Kinesin motor domain
37at3699	Complete	Cexcelsa_scaf_3	43184029	43195262	+	4160.2	2255	https://v10-1.orthodb.org/?query=37at3699	FMP27,  C-terminal
