id,window,forward_repeat_number,reverse_repeat_number,telomeric_repeat
group1,10000,2,1,TTAGGG
group1,20000,2,2,TTAGGG
group1,30000,4,3,TTAGGG
group1,40000,0,0,TTAGGG
group1,50000,4,4,TTAGGG
group1,60000,3,3,TTAGGG
group1,70000,1,1,TTAGGG
group1,80000,3,4,TTAGGG
group1,90000,1,3,TTAGGG
group1,100000,2,2,TTAGGG
group1,110000,3,0,TTAGGG
group1,120000,1,11,TTAGGG
group1,130000,0,2,TTAGGG
group1,140000,0,6,TTAGGG
group1,150000,1,3,TTAGGG
group1,160000,1,2,TTAGGG
group1,170000,2,1,TTAGGG
group1,180000,2,1,TTAGGG
group1,190000,3,1,TTAGGG
group1,200000,0,4,TTAGGG
group1,210000,1,0,TTAGGG
group1,220000,7,5,TTAGGG
group1,230000,0,2,TTAGGG
group1,240000,1,2,TTAGGG
group1,250000,7,5,TTAGGG
group1,260000,0,1,TTAGGG
group1,270000,1,2,TTAGGG
group1,280000,7,2,TTAGGG
group1,290000,0,3,TTAGGG
group1,300000,0,2,TTAGGG
group1,310000,0,2,TTAGGG
group1,320000,0,1,TTAGGG
group1,330000,0,2,TTAGGG
group1,340000,0,2,TTAGGG
group1,350000,0,6,TTAGGG
group1,360000,6,3,TTAGGG
group1,370000,1,3,TTAGGG
group1,380000,7,3,TTAGGG
group1,390000,0,2,TTAGGG
group1,400000,0,1,TTAGGG
group1,410000,0,5,TTAGGG
group1,420000,0,3,TTAGGG
group1,430000,0,1,TTAGGG
group1,440000,0,2,TTAGGG
group1,450000,0,0,TTAGGG
group1,460000,2,0,TTAGGG
group1,470000,0,0,TTAGGG
group1,480000,2,0,TTAGGG
group1,490000,4,0,TTAGGG
group1,500000,0,0,TTAGGG
group1,510000,5,4,TTAGGG
group1,520000,0,0,TTAGGG
group1,530000,5,4,TTAGGG
group1,540000,0,0,TTAGGG
group1,550000,0,0,TTAGGG
group1,560000,4,1,TTAGGG
group1,570000,10,3,TTAGGG
group1,580000,2,0,TTAGGG
group1,590000,2,0,TTAGGG
group1,600000,9,2,TTAGGG
group1,610000,5,2,TTAGGG
group1,620000,4,1,TTAGGG
group1,630000,10,3,TTAGGG
group1,640000,4,0,TTAGGG
group1,650000,4,0,TTAGGG
group1,660000,1,0,TTAGGG
group1,670000,1,0,TTAGGG
group1,680000,1,0,TTAGGG
group1,690000,1,0,TTAGGG
group1,700000,0,0,TTAGGG
group1,710000,1,0,TTAGGG
group1,720000,0,1,TTAGGG
group1,730000,1,0,TTAGGG
group1,740000,1,0,TTAGGG
group1,750000,0,0,TTAGGG
group1,760000,1,0,TTAGGG
group1,770000,0,1,TTAGGG
group1,780000,0,0,TTAGGG
group1,790000,1,1,TTAGGG
group1,800000,0,0,TTAGGG
group1,810000,1,0,TTAGGG
group1,820000,0,1,TTAGGG
group1,830000,1,0,TTAGGG
group1,840000,1,0,TTAGGG
group1,850000,1,0,TTAGGG
group1,860000,0,1,TTAGGG
group1,870000,0,0,TTAGGG
group1,880000,0,0,TTAGGG
group1,890000,0,0,TTAGGG
group1,900000,2,0,TTAGGG
group1,910000,0,3,TTAGGG
group1,920000,3,2,TTAGGG
group1,930000,5,2,TTAGGG
group1,940000,1,3,TTAGGG
group1,950000,0,0,TTAGGG
group1,960000,3,0,TTAGGG
group1,970000,1,0,TTAGGG
group1,980000,2,0,TTAGGG
group1,990000,1,0,TTAGGG
group1,1000000,2,0,TTAGGG
group1,1010000,0,1,TTAGGG
group1,1020000,0,0,TTAGGG
group1,1030000,0,0,TTAGGG
group1,1040000,0,3,TTAGGG
group1,1050000,3,2,TTAGGG
group1,1060000,3,1,TTAGGG
group1,1070000,1,3,TTAGGG
group1,1080000,1,0,TTAGGG
group1,1090000,3,0,TTAGGG
group1,1100000,1,0,TTAGGG
group1,1110000,1,0,TTAGGG
group1,1120000,0,0,TTAGGG
group1,1130000,2,0,TTAGGG
group1,1140000,2,0,TTAGGG
group1,1150000,1,1,TTAGGG
group1,1160000,2,0,TTAGGG
group1,1170000,3,11,TTAGGG
group1,1180000,0,0,TTAGGG
group1,1190000,0,2,TTAGGG
group1,1200000,0,0,TTAGGG
group1,1210000,0,1,TTAGGG
group1,1220000,0,1,TTAGGG
group1,1230000,0,2,TTAGGG
group1,1240000,0,0,TTAGGG
group1,1250000,2,2,TTAGGG
group1,1260000,0,0,TTAGGG
group1,1270000,1,2,TTAGGG
group1,1280000,0,0,TTAGGG
group1,1290000,3,1,TTAGGG
group1,1300000,2,3,TTAGGG
group1,1310000,0,5,TTAGGG
group1,1320000,2,2,TTAGGG
group1,1330000,3,1,TTAGGG
group1,1340000,0,2,TTAGGG
group1,1350000,2,3,TTAGGG
group1,1360000,2,5,TTAGGG
group1,1370000,0,7,TTAGGG
group1,1380000,0,2,TTAGGG
group1,1390000,1,0,TTAGGG
group1,1400000,0,0,TTAGGG
group1,1410000,0,1,TTAGGG
group1,1420000,1,0,TTAGGG
group1,1430000,6,0,TTAGGG
group1,1440000,4,1,TTAGGG
group1,1450000,1,0,TTAGGG
group1,1460000,9,0,TTAGGG
group1,1470000,0,1,TTAGGG
group1,1480000,0,0,TTAGGG
group1,1490000,5,2,TTAGGG
group1,1500000,3,1,TTAGGG
group1,1510000,4,1,TTAGGG
group1,1520000,0,0,TTAGGG
group1,1530000,0,1,TTAGGG
group1,1540000,0,0,TTAGGG
group1,1550000,3,0,TTAGGG
group1,1560000,3,0,TTAGGG
group1,1570000,0,1,TTAGGG
group1,1580000,0,0,TTAGGG
group1,1590000,0,0,TTAGGG
group1,1600000,1,0,TTAGGG
group1,1610000,0,1,TTAGGG
group1,1620000,0,2,TTAGGG
group1,1630000,0,3,TTAGGG
group1,1640000,2,2,TTAGGG
group1,1650000,1,5,TTAGGG
group1,1660000,0,2,TTAGGG
group1,1670000,1,0,TTAGGG
group1,1680000,0,0,TTAGGG
group1,1690000,1,1,TTAGGG
group1,1700000,0,0,TTAGGG
group1,1710000,0,0,TTAGGG
group1,1720000,2,1,TTAGGG
group1,1730000,0,2,TTAGGG
group1,1740000,6,8,TTAGGG
group1,1750000,28,19,TTAGGG
group1,1760000,25,16,TTAGGG
group1,1770000,5,4,TTAGGG
group1,1780000,2,3,TTAGGG
group1,1790000,2,3,TTAGGG
